,State,Locale,Load Level,File Dir
181,FL,Naples Muni AP,BASE,residential_load_data/BASE/USA_FL_Naples.Muni.AP.722038_TMY3_BASE.csv
182,FL,NASA Shuttle Landing Facility,BASE,residential_load_data/BASE/USA_FL_NASA.Shuttle.Landing.Facility.747946_TMY3_BASE.csv
183,FL,Ocala Muni AWOS,BASE,residential_load_data/BASE/USA_FL_Ocala.Muni.AWOS.722055_TMY3_BASE.csv
184,FL,Orlando-Sanford AP,BASE,residential_load_data/BASE/USA_FL_Orlando-Sanford.AP.722057_TMY3_BASE.csv
185,FL,Orlando Executive AP,BASE,residential_load_data/BASE/USA_FL_Orlando.Executive.AP.722053_TMY3_BASE.csv
186,FL,Orlando Intl AP,BASE,residential_load_data/BASE/USA_FL_Orlando.Intl.AP.722050_TMY3_BASE.csv
187,FL,Panama City-Bay County AP,BASE,residential_load_data/BASE/USA_FL_Panama.City-Bay.County.AP.722245_TMY3_BASE.csv
188,FL,Pensacola-Forest Sherman NAS,BASE,residential_load_data/BASE/USA_FL_Pensacola-Forest.Sherman.NAS.722225_TMY3_BASE.csv
189,FL,Pensacola Rgnl AP,BASE,residential_load_data/BASE/USA_FL_Pensacola.Rgnl.AP.722223_TMY3_BASE.csv
190,FL,Sarasota-Bradenton Intl AP,BASE,residential_load_data/BASE/USA_FL_Sarasota-Bradenton.Intl.AP.722115_TMY3_BASE.csv
191,FL,Southwest Florida Intl AP,BASE,residential_load_data/BASE/USA_FL_Southwest.Florida.Intl.AP.722108_TMY3_BASE.csv
192,FL,St Petersburg-Albert Whitted Station,BASE,residential_load_data/BASE/USA_FL_St.Petersburg-Albert.Whitted.Station.722104_TMY3_BASE.csv
193,FL,St Petersburg-Clearwater Intl AP,BASE,residential_load_data/BASE/USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3_BASE.csv
194,FL,Tallahassee Rgnl AP,BASE,residential_load_data/BASE/USA_FL_Tallahassee.Rgnl.AP.722140_TMY3_BASE.csv
195,FL,Tampa Intl AP,BASE,residential_load_data/BASE/USA_FL_Tampa.Intl.AP.722110_TMY3_BASE.csv
196,FL,Tyndall AFB,BASE,residential_load_data/BASE/USA_FL_Tyndall.AFB.747750_TMY3_BASE.csv
197,FL,Valparaiso-Elgin AFB,BASE,residential_load_data/BASE/USA_FL_Valparaiso-Elgin.AFB.722210_TMY3_BASE.csv
198,FL,Vero Beach Muni AP,BASE,residential_load_data/BASE/USA_FL_Vero.Beach.Muni.AP.722045_TMY3_BASE.csv
199,FL,West Palm Beach Intl AP,BASE,residential_load_data/BASE/USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3_BASE.csv
200,FL,Whiting Field NAS,BASE,residential_load_data/BASE/USA_FL_Whiting.Field.NAS.722226_TMY3_BASE.csv
201,GA,Albany-Dougherty County AP,BASE,residential_load_data/BASE/USA_GA_Albany-Dougherty.County.AP.722160_TMY3_BASE.csv
202,GA,Alma-Bacon County AP,BASE,residential_load_data/BASE/USA_GA_Alma-Bacon.County.AP.722135_TMY3_BASE.csv
203,GA,Athens-Ben Epps AP,BASE,residential_load_data/BASE/USA_GA_Athens-Ben.Epps.AP.723110_TMY3_BASE.csv
204,GA,Atlanta-Hartsfield-Jackson Intl AP,BASE,residential_load_data/BASE/USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3_BASE.csv
205,GA,Augusta-Bush-Field,BASE,residential_load_data/BASE/USA_GA_Augusta-Bush-Field.722180_TMY3_BASE.csv
206,GA,Brunswick-Golden Isles AP,BASE,residential_load_data/BASE/USA_GA_Brunswick-Golden.Isles.AP.722136_TMY3_BASE.csv
